Station_levl,测站级别
Q_Snow_Depth,路面雪层厚度质控码
Q_Snow_PRS,雪压质控码
Q_EICE,电线积冰-现象质控码
Q_EICED_NS,电线积冰-南北方向直径质控码
Q_EICET_NS,电线积冰-南北方向厚度质控码
Q_EICEW_NS,电线积冰-南北方向重量质控码
Q_EICED_WE,电线积冰-东西方向直径质控码
Q_EICET_WE,电线积冰-东西方向厚度质控码
Q_EICEW_WE,电线积冰-东西方向重量质控码
Q_TEM,温度/气温质控码
Q_WIN_D,瞬时风向质控码
Q_WIN_S,瞬时风速质控码
Q_WIN_D_2mi_Avg_C,逐小时2分钟平均风速风向质控码
Q_WIN_S_2mi_Avg,日平均2分钟风速质控码
Q_VIS_Avg_10mi_Hourly,逐小时10分钟平均风速风向质控码
Q_WIN_S_10mi_Avg,日平均10分钟风速质控码
Q_WIN_D_S_Max,日最大风速的风向质控码
Q_WIN_S_Max,日最大风速质控码
Q_WIN_S_Max_OTime,日最大风速出现时间质控码
Q_WIN_D_INST_Max,日极大风速的风向质控码
Q_WIN_S_Inst_Max,日极大风速质控码
Q_WIN_S_INST_Max_OTime,日极大风速出现时间质控码
Q_GST_Avg,日平均地面温度质控码
Q_GST_Max,日最高地面温度质控码
Q_GST_Max_Otime,日最高地面温度出现时间质控码
Q_GST_Min,日最低地面温度质控码
Q_GST_Min_OTime,日最低地面温度出现时间质控码
Q_GST_Avg_5cm,日平均5cm地温质控码
Q_GST_Avg_10cm,日平均10cm地温质控码
Q_GST_Avg_15cm,日平均15cm地温质控码
Q_GST_Avg_20cm,日平均20cm地温质控码
Q_GST_Avg_40cm,日平均40cm地温质控码
Q_GST_Avg_80cm,日平均80cm地温质控码
Q_GST_Avg_160cm,日平均160cm地温质控码
Q_GST_Avg_320cm,日平均320cm地温质控码
Q_FRS_1st_Top,第一冻土层上界值质控码
Q_FRS_1st_Bot,第一冻土层下界值质控码
Q_FRS_2nd_Top,第二冻土层上界值质控码
Q_FRS_2nd_Bot,第二冻土层下界值质控码
Q_SSH,日总日照时数质控码
Q_Sunrist_Time,日出时间质控码
Q_Sunset_Time,日落时间质控码
Q_LGST_Avg,日平均草面（雪面）温度质控码
Q_LGST_Max,日草面（雪面）最高温度质控码
Q_LGST_Max_OTime,日草面（雪面）最高温度出现时间质控码
Q_LGST_Min,日草面（雪面）最低温度质控码
Q_LGST_Min_OTime,日草面（雪面）最低温度出现时间质控码
Q_SCO,地面状态质控码
Q_Rain,雨质控码
Q_PRE_OTime,雨出现时间质控码
Q_Snow,雪质控码
Q_Snow_OTime,雪出现时间质控码
Q_Hail,冰雹质控码
Q_HAIL_OTime,冰雹出现时间质控码
Q_Fog,雾质控码
Q_Fog_OTime,雾出现时间质控码
Q_Mist,轻雾质控码
Q_Dew,露质控码
Q_Frost,霜质控码
Q_Glaze,雨凇质控码
Q_GLAZE_OTime,雨凇出现时间质控码
Q_SoRi,雾凇质控码
Q_SoRi_OTime,雾凇出现时间质控码
Q_DrSnow,吹雪质控码
Q_DrSnow_OTime,吹雪出现时间质控码
Q_SnowSt,雪暴质控码
Q_SnowSt_OTime,雪暴出现时间质控码
Q_Tord,龙卷风质控码
Q_Tord_OTime,龙卷风出现时间质控码
Q_GSS,积雪质控码
Q_ICE,结冰质控码
Q_SaSt,沙尘暴质控码
Q_SaSt_OTime,沙尘暴出现时间质控码
Q_FlSa,扬沙质控码
Q_FlSa_OTime,扬沙出现时间质控码
Q_FlDu,浮尘质控码
Q_FlDu_OTime,浮尘出现时间质控码
Q_Smoke,烟质控码
Q_Haze,霾质控码
Q_DuWhr,尘卷风质控码
Q_IcePri,冰针质控码
Q_Thund,雷暴质控码
Q_THUND_OTime,雷暴出现时间质控码
Q_Lit,闪电质控码
Q_Aur,极光质控码
Q_AUR_OTime,极光出现时间质控码
Q_GaWIN,大风质控码
Q_GaWIN_OTime,大风出现时间质控码
Q_Squa,飑质控码
Q_SQUA_OTime,飑出现时间质控码
Q_WEP_Sumary,天气现象摘要质控码
Q_WEP_Record,天气现象记录质控码
RETAIN1,保留字段1
RETAIN2,保留字段2
RETAIN3,保留字段3
V_RETAIN4,保留字段4
